channelId;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;duration;durationSec;dimension;definition;caption;thumbnail_maxres;licensedContent;viewCount;likeCount;dislikeCount;favoriteCount;commentCount;titel_plus_beschrijving;taal_video
UCMTOHl5BCv6DJaa7DRG7DYA;Eclectic Videoproducties;_4GNPJqzpx0;2021-05-25T09:45:38Z;25-5-2021 09:45;RBM Circulair bouwen met partner Signify;Aan de hand van maandelijkse korte video’s neemt RBM de kijker mee in de wereld van circulair bouwen. Deze keer is het met partner Signify.;;22;People & Blogs;PT3M;180;2d;hd;FALSE;https://i.ytimg.com/vi/_4GNPJqzpx0/maxresdefault.jpg;;4;0;0;0;0;RBM Circulair bouwen met partner SignifyAan de hand van maandelijkse korte video’s neemt RBM de kijker mee in de wereld van circulair bouwen. Deze keer is het met partner Signify.;nl
UC1FNdBnau1ohriaE1V8dk3g;Rotterdam Circulair;FRowxpY-BkQ;2021-07-08T12:40:25Z;8-7-2021 12:40;Opening Circulair Loket - RTL Z;De opening van het Circulair Loket afgelopen maandag werd nationaal nieuws! De NOS en RTL Z berichtten over dit eerste loket speciaal voor ondernemers die afval willen gebruiken als grondstof. Wil jij net als rotterzwam aan de slag met reststromen, maar loop je vast in (juridische) procedures? Neem dan contact op met het #CirculairLoket. Kijk op www.rotterdamcirculair.nl/circulairloket voor meer info. #circulair #ondernemen #circulairondernemen #circulaireeconomie #rotterdam #rotterdamcirculair;;22;People & Blogs;PT3M2S;182;2d;hd;FALSE;;;8;0;0;0;0;Opening Circulair Loket - RTL ZDe opening van het Circulair Loket afgelopen maandag werd nationaal nieuws! De NOS en RTL Z berichtten over dit eerste loket speciaal voor ondernemers die afval willen gebruiken als grondstof. Wil jij net als rotterzwam aan de slag met reststromen, maar loop je vast in (juridische) procedures? Neem dan contact op met het #CirculairLoket. Kijk op www.rotterdamcirculair.nl/circulairloket voor meer info. #circulair #ondernemen #circulairondernemen #circulaireeconomie #rotterdam #rotterdamcirculair;nl
UChX6wBAtawncuD8GP53auqw;VNO-NCW Brabant Zeeland;XfiqGDJXK0g;2020-12-01T09:00:19Z;1-12-2020 09:00;Brabant onderneemt circulair. Bouw mee! - Brabantse Circulaire Innovatie Top 20;In Brabant werkt VNO-NCW Brabant Zeeland aan een versnellingsprogramma om ondernemers die circulair willen ondernemen, te ondersteunen. Dat doen we niet alleen, maar samen met vele partners. Versnellen begint bij de ideeën en innovaties van ondernemers. Daarom lanceren wij de Brabantse Circulaire Innovatie Top 20. We zoeken ondernemers met innovatieve projecten en producten, overheden en burgerinitiatieven die tot de verbeelding spreken en we laten zien wat een circulaire economie kan betekenen voor Noord-Brabant. Deze top 20 maken we bekend tijdens de Week van de Circulaire Economie, van 1 tot en met 6 februari 2021.;;25;News & Politics;PT51S;51;2d;hd;FALSE;https://i.ytimg.com/vi/XfiqGDJXK0g/maxresdefault.jpg;;14;0;0;0;0;Brabant onderneemt circulair. Bouw mee! - Brabantse Circulaire Innovatie Top 20In Brabant werkt VNO-NCW Brabant Zeeland aan een versnellingsprogramma om ondernemers die circulair willen ondernemen, te ondersteunen. Dat doen we niet alleen, maar samen met vele partners. Versnellen begint bij de ideeën en innovaties van ondernemers. Daarom lanceren wij de Brabantse Circulaire Innovatie Top 20. We zoeken ondernemers met innovatieve projecten en producten, overheden en burgerinitiatieven die tot de verbeelding spreken en we laten zien wat een circulaire economie kan betekenen voor Noord-Brabant. Deze top 20 maken we bekend tijdens de Week van de Circulaire Economie, van 1 tot en met 6 februari 2021.;nl
UChPuwJbSYXevomTSuT-Xnuw;RBM Retail;j5hP4kiu-qQ;2021-06-25T08:50:59Z;25-6-2021 08:50;Editie 6: RBM Circulair terug bij Jumbo Goor;No;;22;People & Blogs;PT3M8S;188;2d;hd;FALSE;https://i.ytimg.com/vi/j5hP4kiu-qQ/maxresdefault.jpg;;237;5;0;0;0;Editie 6: RBM Circulair terug bij Jumbo GoorNo;nl
UC15xBf6-dcxZDYMhYdzAXnQ;ROM Utrecht Region;Tp83_myRjqs;2021-06-03T13:43:58Z;3-6-2021 13:43;Studio Connect: Circulair bouwen | Thomas Steigenga - Sustainer Homes;Heb je je ook al aangemeld voor de bijeenkomst Roadmap Circulair Bouwen Utrecht Region? Donderdag 10 juni gaan we graag met je in gesprek over de roadmap en spreken we met ondernemers die actief zijn op het gebied van circulair bouwen. Meld je nu aan via http://bit.ly/RoadmapCirculairBouwen Roadmap Circulair Bouwen Voor de Roadmap Circulair Bouwen is Guido Braam, mede-eigenaar Powered by Meaning group en oprichter Route Circulair, gevraagd de mogelijkheden voor kansrijke (keten)innovaties en nieuwe economie te onderzoeken, samen met startups, scale-ups, MKB, corporates, bedrijvennetwerken, kennisinstellingen, (semi) overheden en de ROM. Tijdens de bijeenkomst op 10 juni gaan we graag met jou in gesprek over de Roadmap en spreken we onder meer met enkele inspirerende ondernemers: Dagvoorzitter Wouter van Twillert (C-Creators), Paul Kok (IJssel Smart Industry), Gert van Vught (Sustainer Homes), Jim Teunizen (Alba Concepts) en Sebastian Hegeman (VolkerWessels) Programma 14.45 - 15.00 uur: (online)inloop 15.00 - 16.30 uur: plenaire sessie inclusief pauze 16.30 - 17.30 uur: break-outs Je kunt kiezen uit de volgende break-outsessies: - Digitale uitwisseling ten behoeve van fabrieksmatig bouwen - Digitalisering van materialen - Slimme bouwlogistiek Ben je ondernemer en/of geïnteresseerd in Circulair Bouwen? Meld je dan nu aan voor de bijeenkomst op 10 juni via http://bit.ly/RoadmapCirculairBouwen;;25;News & Politics;PT2M8S;128;2d;hd;FALSE;https://i.ytimg.com/vi/Tp83_myRjqs/maxresdefault.jpg;;25;0;0;0;0;Studio Connect: Circulair bouwen | Thomas Steigenga - Sustainer HomesHeb je je ook al aangemeld voor de bijeenkomst Roadmap Circulair Bouwen Utrecht Region? Donderdag 10 juni gaan we graag met je in gesprek over de roadmap en spreken we met ondernemers die actief zijn op het gebied van circulair bouwen. Meld je nu aan via http://bit.ly/RoadmapCirculairBouwen Roadmap Circulair Bouwen Voor de Roadmap Circulair Bouwen is Guido Braam, mede-eigenaar Powered by Meaning group en oprichter Route Circulair, gevraagd de mogelijkheden voor kansrijke (keten)innovaties en nieuwe economie te onderzoeken, samen met startups, scale-ups, MKB, corporates, bedrijvennetwerken, kennisinstellingen, (semi) overheden en de ROM. Tijdens de bijeenkomst op 10 juni gaan we graag met jou in gesprek over de Roadmap en spreken we onder meer met enkele inspirerende ondernemers: Dagvoorzitter Wouter van Twillert (C-Creators), Paul Kok (IJssel Smart Industry), Gert van Vught (Sustainer Homes), Jim Teunizen (Alba Concepts) en Sebastian Hegeman (VolkerWessels) Programma 14.45 - 15.00 uur: (online)inloop 15.00 - 16.30 uur: plenaire sessie inclusief pauze 16.30 - 17.30 uur: break-outs Je kunt kiezen uit de volgende break-outsessies: - Digitale uitwisseling ten behoeve van fabrieksmatig bouwen - Digitalisering van materialen - Slimme bouwlogistiek Ben je ondernemer en/of geïnteresseerd in Circulair Bouwen? Meld je dan nu aan voor de bijeenkomst op 10 juni via http://bit.ly/RoadmapCirculairBouwen;nl
UC-ORxHOEkOxcpePBa0r0i0A;Marc Frencken;R2VfNhWW_Fc;2021-02-12T19:03:26Z;12-2-2021 19:03;Projectgroep Circulair Bouwen test de Hololens met Sustainable Constructions;Voor STO regio Nijmegen en omstreken is één van de projecten de bouw van een lokaal op locatie bij VO-scholen, met leerlingen uit onder en bovenbouw. Dat willen we in 14 dagen voor elkaar krijgen. Vervolgens gaan we in het klaslokaal les geven over duurzaam bouwen en de herbruikbaarheid van materialen. Ook willen we lessen verzorgen over circulariteit in het dagelijks leven. Circulariteit zal een rol van toenemende betekenis gaan spelen in alle sectoren en dus ook in de Zeven Werelden van Techniek. In de hololens wordt een projectie gegeven van het gebouw van Sustainable Constructions. Met dit medium kunnen we voor de leerlingen die gaan meewerken aan de bouw de constructies volledig zichtbaar maken. Op deze manier denken we jongeren voor te bereiden op bewuste deelname aan het arbeidsprocessen. In ons geval dus de wereld van circulair bouwen. In het filmpje, een grove montage, zie je de projectgroep leden voor het eerst in de extended reality van de hololens spelen met en zich verwonderen over het opengewerkte model van het prototype van het huis van Sustainable Constructions. Met behulp van docenten van de scholen waar we gaan bouwen, geven we circulariteit een plaats in toekomstgericht onderwijs.;;1;Film & Animation;PT3M27S;207;2d;hd;FALSE;https://i.ytimg.com/vi/R2VfNhWW_Fc/maxresdefault.jpg;;125;0;0;0;0;Projectgroep Circulair Bouwen test de Hololens met Sustainable ConstructionsVoor STO regio Nijmegen en omstreken is één van de projecten de bouw van een lokaal op locatie bij VO-scholen, met leerlingen uit onder en bovenbouw. Dat willen we in 14 dagen voor elkaar krijgen. Vervolgens gaan we in het klaslokaal les geven over duurzaam bouwen en de herbruikbaarheid van materialen. Ook willen we lessen verzorgen over circulariteit in het dagelijks leven. Circulariteit zal een rol van toenemende betekenis gaan spelen in alle sectoren en dus ook in de Zeven Werelden van Techniek. In de hololens wordt een projectie gegeven van het gebouw van Sustainable Constructions. Met dit medium kunnen we voor de leerlingen die gaan meewerken aan de bouw de constructies volledig zichtbaar maken. Op deze manier denken we jongeren voor te bereiden op bewuste deelname aan het arbeidsprocessen. In ons geval dus de wereld van circulair bouwen. In het filmpje, een grove montage, zie je de projectgroep leden voor het eerst in de extended reality van de hololens spelen met en zich verwonderen over het opengewerkte model van het prototype van het huis van Sustainable Constructions. Met behulp van docenten van de scholen waar we gaan bouwen, geven we circulariteit een plaats in toekomstgericht onderwijs.;nl
UCQNJiRUAmcUoui90RZWNmYg;Green Business Club Nederland;buJVoi5KAlo;2021-05-20T09:08:30Z;20-5-2021 09:08;Doe mee met online leerplatform over Circulair Inkopen!;Veel bedrijven hebben ambities met betrekking tot afval: afval verminderen, of zelfs komen tot zero waste. Circulair en duurzaam inkopen is hier onlosmakelijk mee verbonden. Copper8, PHI Factory en Green Business Club Nederland bundelen hun krachten met een nieuwe online leermethode die alle waardevolle kennis over circulair inkopen voor iedere professional op de eigen werkplek toegankelijk maakt. En hiervoor zijn we op zoek naar 100 #firstfollowers! Doe mee en ga aan de slag met met duurzamer en circulair inkopen! Meer weten? https://greenbusinessclub.nl/landelijk/de-circulair-inkopen-accelerator/;;22;People & Blogs;PT1M22S;82;2d;hd;FALSE;https://i.ytimg.com/vi/buJVoi5KAlo/maxresdefault.jpg;;26;0;0;0;0;Doe mee met online leerplatform over Circulair Inkopen!Veel bedrijven hebben ambities met betrekking tot afval: afval verminderen, of zelfs komen tot zero waste. Circulair en duurzaam inkopen is hier onlosmakelijk mee verbonden. Copper8, PHI Factory en Green Business Club Nederland bundelen hun krachten met een nieuwe online leermethode die alle waardevolle kennis over circulair inkopen voor iedere professional op de eigen werkplek toegankelijk maakt. En hiervoor zijn we op zoek naar 100 #firstfollowers! Doe mee en ga aan de slag met met duurzamer en circulair inkopen! Meer weten? https://greenbusinessclub.nl/landelijk/de-circulair-inkopen-accelerator/;nl
UCxRenmEcyY0LmYI8d6-90Jw;BK bouw- & milieuadvies;4eto3EOC_zs;2020-05-20T07:17:02Z;20-5-2020 07:17;Innovatie in de bouw | Circulair Bouwen (2/3) | Din Schellevis | BK bouw- & milieuadvies;"In deze video vertellen wij de actualiteiten op gebied op gebied van circulair bouwen. Dit is de tweede video in een reeks van drie video's over de ontwikkelingen op gebied van bouw, milieu en ruimte. Eerder al kon u de video zien over de ontwikkelingen op gebied van Flora & Fauna; laten zal de video over BENG beschikbaar komen!";;28;Science & Technology;PT2M54S;174;2d;hd;FALSE;;;40;1;0;0;0;"Innovatie in de bouw | Circulair Bouwen (2/3) | Din Schellevis | BK bouw- & milieuadviesIn deze video vertellen wij de actualiteiten op gebied op gebied van circulair bouwen. Dit is de tweede video in een reeks van drie video's over de ontwikkelingen op gebied van bouw, milieu en ruimte. Eerder al kon u de video zien over de ontwikkelingen op gebied van Flora & Fauna; laten zal de video over BENG beschikbaar komen!";nl
UCyacLMGATjZySiJdGQsuCJA;MVI Congres;Re1KbhPOyqI;2021-01-21T14:22:32Z;21-1-2021 14:22;Circulair contract afgesloten, en nu?;Er is veel aandacht voor MVI in het aanbestedingsproces, maar weinig zicht op hoe je de gemaakte afspraken goed borgt in de contractmanagementfase. Bij de contract-uitvoering wordt pas het verschil gemaakt tussen papieren inkoopwaarheid en daadwerkelijke resultaten. Hoe zorg je dat de duurzame resultaten die je voor ogen had oog daadwerkelijk worden behaald? De afspraken worden overgedragen aan contractmanagers en de verwachting is dat zij het nakomen van deze afspraken kunnen monitoren en handhaven. In de praktijk brengt dit diverse uitdagingen met zich mee. In deze themasessie gaan we in op wat contractmanagers nodig hebben om een MVI-contract goed te managen. Hoe monitort een contractmanager of de doelstellingen worden behaald? Als dan blijkt dat het niet gerealiseerd wordt, hoe kan een contractmanager daar dan verandering in brengen? Ook bespreken we het dilemma dat contractmanagers vaak in de spagaat zitten tussen het oplossen van een operationeel probleem enerzijds (korte termijn) en sturing op de organisatiedoelstellingen anderzijds (lange termijn). Hoe krijgt je de verantwoordelijke opdrachtgever in beweging om te sturen op de gemaakte afspraken? Wat is nu de beste bron van informatie om te kunnen sturen op het contract? Hoe kan je een contractsamenvatting inzetten om de organisatie te informeren? De meetmethode die is opgesteld door de MRA in de roadmap circulair inkopen is een jaar in gebruik geweest. Hoe werkt deze procesmeting in de praktijk? En helpt het de contractmanager? Deze workshop richt zich op alle doelgroepen en kennisniveaus.;;22;People & Blogs;PT46M6S;2766;2d;hd;FALSE;https://i.ytimg.com/vi/Re1KbhPOyqI/maxresdefault.jpg;;16;0;0;0;0;Circulair contract afgesloten, en nu?Er is veel aandacht voor MVI in het aanbestedingsproces, maar weinig zicht op hoe je de gemaakte afspraken goed borgt in de contractmanagementfase. Bij de contract-uitvoering wordt pas het verschil gemaakt tussen papieren inkoopwaarheid en daadwerkelijke resultaten. Hoe zorg je dat de duurzame resultaten die je voor ogen had oog daadwerkelijk worden behaald? De afspraken worden overgedragen aan contractmanagers en de verwachting is dat zij het nakomen van deze afspraken kunnen monitoren en handhaven. In de praktijk brengt dit diverse uitdagingen met zich mee. In deze themasessie gaan we in op wat contractmanagers nodig hebben om een MVI-contract goed te managen. Hoe monitort een contractmanager of de doelstellingen worden behaald? Als dan blijkt dat het niet gerealiseerd wordt, hoe kan een contractmanager daar dan verandering in brengen? Ook bespreken we het dilemma dat contractmanagers vaak in de spagaat zitten tussen het oplossen van een operationeel probleem enerzijds (korte termijn) en sturing op de organisatiedoelstellingen anderzijds (lange termijn). Hoe krijgt je de verantwoordelijke opdrachtgever in beweging om te sturen op de gemaakte afspraken? Wat is nu de beste bron van informatie om te kunnen sturen op het contract? Hoe kan je een contractsamenvatting inzetten om de organisatie te informeren? De meetmethode die is opgesteld door de MRA in de roadmap circulair inkopen is een jaar in gebruik geweest. Hoe werkt deze procesmeting in de praktijk? En helpt het de contractmanager? Deze workshop richt zich op alle doelgroepen en kennisniveaus.;nl
UCpRB58b2_e-pe8IF64YQcGg;Departement Omgeving;4XZrY9AC7bY;2020-06-19T12:31:50Z;19-6-2020 12:31;Green Deal Circulair Bouwen;Petra Ronda en Jef Lembrechts, respectievelijk projeccoördinator en voorzitter van de Vlaamse Confederatie Bouw (VCB) hebben het over de Green Deal Circulair Bouwen. Meer over de Green Deal Circulair Bouwen op https://vlaanderen-circulair.be/nl/onze-projecten/detail/green-deal-circulair-bouwen;;29;Nonprofits & Activism;PT2M1S;121;2d;hd;FALSE;https://i.ytimg.com/vi/4XZrY9AC7bY/maxresdefault.jpg;;125;0;0;0;;Green Deal Circulair BouwenPetra Ronda en Jef Lembrechts, respectievelijk projeccoördinator en voorzitter van de Vlaamse Confederatie Bouw (VCB) hebben het over de Green Deal Circulair Bouwen. Meer over de Green Deal Circulair Bouwen op https://vlaanderen-circulair.be/nl/onze-projecten/detail/green-deal-circulair-bouwen;nl
